id,name,strength,politics,diplomacy,intelligence,charm,loyalty,clan,castleId,personality,ambition,affinity,leadership
10001,上杉謙信,100,60,55,85,99,100,1,2,aggressive,60,5,98
10002,柿崎景家,94,30,20,40,60,86,1,1,aggressive,40,6,84
10003,直江景綱,60,85,88,80,70,93,1,6,balanced,30,5,75
10004,宇佐美定満,68,60,70,92,60,86,1,2,conservative,30,4,87
10007,本庄繁長,88,40,30,60,50,26,1,15,aggressive,80,5,82
10008,甘粕景持,87,45,40,58,65,90,1,2,aggressive,40,4,83
10009,斎藤朝信,82,78,75,82,75,92,1,1,balanced,35,5,84
20001,武田信玄,88,95,90,96,98,100,2,9,balanced,95,65,100
20002,高坂昌信,74,82,75,86,80,93,2,5,conservative,40,66,88
20003,山県昌景,96,70,60,75,82,93,2,9,aggressive,50,64,94
20004,山本勘助,72,60,70,94,65,86,2,5,aggressive,40,65,85
20005,秋山信友,84,65,70,78,75,86,2,8,balanced,50,65,84
20006,馬場信春,88,68,60,83,80,95,2,9,balanced,30,65,93
20007,内藤昌豊,76,75,70,85,82,95,2,5,balanced,30,65,89
20008,真田幸隆,64,88,92,97,75,85,2,8,conservative,80,64,86
30001,北条氏康,88,98,85,90,94,100,3,14,conservative,85,20,96
30002,北条氏政,65,72,60,68,75,86,3,10,conservative,60,20,76
30003,北条綱成,97,50,40,65,85,100,3,14,aggressive,40,19,94
30004,北条氏照,85,72,75,68,78,90,3,14,aggressive,50,20,86
30005,北条氏邦,84,68,65,60,70,88,3,10,aggressive,45,19,83
30006,風魔小太郎,96,20,10,85,40,90,3,14,aggressive,20,21,86
40001,今川義元,68,92,90,85,90,100,4,13,conservative,90,30,95
40002,朝比奈泰朝,83,50,50,50,60,86,4,12,balanced,40,30,79
40003,太原雪斎,60,96,98,98,85,100,4,13,conservative,50,29,94
40004,松平元康,86,94,90,92,96,70,4,12,conservative,100,44,99
40005,岡部元信,82,60,55,65,60,90,4,13,balanced,40,30,83
40006,井伊直虎,68,78,80,75,88,85,4,12,conservative,50,35,76
50001,斎藤義龍,89,60,50,65,60,40,5,3,conservative,90,35,85
50002,稲葉一鉄,84,75,60,78,70,46,5,3,balanced,60,38,81
50003,遠山景任,60,55,60,55,55,66,5,4,conservative,40,35,65
50004,竹中半兵衛,65,82,88,99,85,80,5,3,balanced,30,40,98
50005,安藤守就,68,70,65,75,60,60,5,3,conservative,60,38,73
50006,氏家卜全,75,65,60,70,55,60,5,3,balanced,60,38,77
60001,織田信長,87,100,95,95,99,100,6,7,aggressive,100,45,100
60002,柴田勝家,96,65,50,60,80,93,6,7,aggressive,70,44,93
60003,佐久間信盛,72,70,75,70,60,66,6,11,conservative,50,46,79
60004,木下藤吉郎,65,94,96,95,98,95,6,7,aggressive,100,45,96
60005,前田利家,92,65,60,60,85,95,6,7,aggressive,70,46,85
60006,丹羽長秀,76,85,88,82,84,98,6,7,balanced,50,45,86
60007,滝川一益,84,70,75,80,70,90,6,11,aggressive,60,44,91
90001,明智光秀,82,92,90,94,88,100,0,3,balanced,90,42,97
90002,上泉信綱,100,20,30,75,80,100,0,10,balanced,10,10,88
90003,前田慶次,99,20,30,65,90,100,0,7,aggressive,80,46,75